,R202G,max,diff,True
110,9.653604594061653e-06,1.1617140855993541e-06,-3.3183545940616527e-06,1
111,9.558188380481137e-06,1.1617140855993541e-06,-2.502398380481137e-06,0
112,7.807505683316183e-06,1.1617140855993541e-06,-1.3232356833161824e-06,0
113,5.258162306336252e-06,1.1617140855993541e-06,-4.2255230633625216e-07,0
114,2.933112700270887e-06,1.1617140855993541e-06,1.8944729972911282e-07,0
115,1.4002545007471596e-06,1.1617140855993541e-06,7.100854992528406e-07,1
116,7.876002372868763e-07,1.1617140855993541e-06,1.1510797627131238e-06,1
117,1.0497533531783434e-06,1.1617140855993541e-06,1.3944566468216567e-06,1
118,2.177066274990941e-06,1.1617140855993541e-06,1.1339837250090592e-06,1
119,4.032039353819735e-06,1.1617140855993541e-06,5.942706461802647e-07,0
120,7.4145357294358444e-06,1.1617140855993541e-06,7.874942705641547e-07,0
121,1.6105312532056688e-05,1.1617140855993541e-06,1.9459874679433135e-06,0
122,3.421963466857145e-05,1.1617140855993541e-06,3.62026533142855e-06,0
123,5.807808762765326e-05,1.1617140855993541e-06,6.012412372346742e-06,1
124,7.4088558609113e-05,1.1617140855993541e-06,8.061941390887e-06,1
125,7.032483976778164e-05,1.1617140855993541e-06,7.079560232218355e-06,1
126,4.901602735955013e-05,1.1617140855993541e-06,3.482972640449862e-06,0
127,2.402868659803501e-05,1.1617140855993541e-06,5.886134019649895e-07,0
128,2.3600832190833246e-06,1.1617140855993541e-06,9.690367809166751e-07,1
129,2.4187905215637947e-06,1.1617140855993541e-06,1.0755594784362051e-06,1
130,1.512454932414467e-06,1.1617140855993541e-06,6.962850675855335e-07,1
131,6.972111424832151e-07,1.1617140855993541e-06,3.715188575167847e-07,0
132,3.2359185977368087e-07,1.1617140855993541e-06,2.630721402263191e-07,0
133,1.730686710160096e-07,1.1617140855993541e-06,2.3210332898399042e-07,0
134,9.455502583600107e-08,1.1617140855993541e-06,1.951319741639989e-07,0
135,7.048042562196214e-08,1.1617140855993541e-06,1.5863357437803785e-07,0
136,1.80714582380493e-07,1.1617140855993541e-06,1.0953041761950701e-07,0
137,6.719119141406008e-07,1.1617140855993541e-06,-8.915891414060076e-08,0
138,1.9332272904446216e-06,1.1617140855993541e-06,-6.209872904446217e-07,1
139,4.154531964237091e-06,1.1617140855993541e-06,-1.4489119642370913e-06,1
140,7.182109519082942e-06,1.1617140855993541e-06,-2.341739519082942e-06,1
141,1.0806068543858326e-05,1.1617140855993541e-06,-3.1908885438583254e-06,1
142,1.4180173970358374e-05,1.1617140855993541e-06,-3.746273970358374e-06,1
143,1.5228332898805267e-05,1.1617140855993541e-06,-3.427632898805268e-06,1
144,1.2645075369670752e-05,1.1617140855993541e-06,-2.0991753696707536e-06,0
145,7.91960311110141e-06,1.1617140855993541e-06,-4.4737311110140903e-07,0
146,3.7875943430168702e-06,1.1617140855993541e-06,7.582156569831294e-07,1
147,1.581137525836097e-06,1.1617140855993541e-06,1.3536624741639033e-06,1
148,1.1243896838589913e-06,1.1617140855993541e-06,1.6463003161410089e-06,1
149,2.1285745830387133e-06,1.1617140855993541e-06,1.6523254169612864e-06,1
150,4.534820412238996e-06,1.1617140855993541e-06,7.79689587761004e-07,0
151,8.410072015979979e-06,1.1617140855993541e-06,-9.131820159799795e-07,0
152,1.5160471900367951e-05,1.1617140855993541e-06,-2.0960719003679514e-06,1
153,2.8307242701628033e-05,1.1617140855993541e-06,-1.5678427016280328e-06,0
154,4.891927109485074e-05,1.1617140855993541e-06,1.4444289051492593e-06,0
155,6.915943650668845e-05,1.1617140855993541e-06,6.570563493311541e-06,1
156,7.590839107375237e-05,1.1617140855993541e-06,1.0444908926247632e-05,1
157,6.376807568959179e-05,1.1617140855993541e-06,9.673624310408208e-06,1
158,4.0353255727312845e-05,1.1617140855993541e-06,5.541844272687155e-06,1
159,1.835355194725445e-05,1.1617140855993541e-06,1.8486480527455506e-06,1
160,1.889071851070089e-06,1.1617140855993541e-06,5.691681489299114e-07,1
161,1.9899324186824628e-06,1.1617140855993541e-06,6.72547581317537e-07,1
162,1.2552947761873664e-06,1.1617140855993541e-06,5.756452238126338e-07,1
163,5.497685630199865e-07,1.1617140855993541e-06,5.116814369800135e-07,1
164,2.2119790331097736e-07,1.1617140855993541e-06,4.794050966890226e-07,0
165,1.1385604951991773e-07,1.1617140855993541e-06,3.945149504800823e-07,0
166,7.698135463867014e-08,1.1617140855993541e-06,2.6654964536132985e-07,0
167,7.604872846430863e-08,1.1617140855993541e-06,1.586132715356914e-07,0
168,2.0686319735629953e-07,1.1617140855993541e-06,6.246080264370051e-08,0
169,7.78191396091014e-07,1.1617140855993541e-06,-1.3687239609101405e-07,0
170,2.329617059023449e-06,1.1617140855993541e-06,-5.853570590234492e-07,1
171,5.371756855204133e-06,1.1617140855993541e-06,-1.3168868552041336e-06,1
172,1.0129884722410446e-05,1.1617140855993541e-06,-2.3297747224104448e-06,1
173,1.6236377942446116e-05,1.1617140855993541e-06,-3.6532779424461162e-06,1
174,2.1657054098287586e-05,1.1617140855993541e-06,-4.850954098287588e-06,1
175,2.264351006166296e-05,1.1617140855993541e-06,-4.801810061662958e-06,1
176,1.7569115803671012e-05,1.1617140855993541e-06,-2.9382158036710126e-06,1
177,9.845808552910072e-06,1.1617140855993541e-06,-4.1182855291007194e-07,0
178,4.089220547128962e-06,1.1617140855993541e-06,1.158969452871037e-06,1
179,1.6015755487928352e-06,1.1617140855993541e-06,1.5481444512071646e-06,1
180,1.4638960873607515e-06,1.1617140855993541e-06,1.4847039126392485e-06,1
181,2.978381918287458e-06,1.1617140855993541e-06,1.136418081712542e-06,0
182,6.170539324946506e-06,1.1617140855993541e-06,-1.7099932494650534e-07,0
183,1.1626997616170462e-05,1.1617140855993541e-06,-2.4460776161704623e-06,1
184,2.0938254558549758e-05,1.1617140855993541e-06,-4.322954558549758e-06,1
185,3.657100959508017e-05,1.1617140855993541e-06,-4.470709595080167e-06,1
186,5.73455659952708e-05,1.1617140855993541e-06,-2.289665995270798e-06,0
187,7.336727528200523e-05,1.1617140855993541e-06,1.7960247179947758e-06,0
188,7.287445913615712e-05,1.1617140855993541e-06,5.429740863842881e-06,0
189,5.5765437654254734e-05,1.1617140855993541e-06,5.965462345745268e-06,0
