,2OCJ3,diff,True
487,3.6203536314000673e-09,1.4384363685999327e-09,0
488,6.903183225962825e-09,7.136416774037175e-09,0
489,1.1466248226613244e-08,1.7892251773386754e-08,0
490,1.6932058375337982e-08,2.7220441624662023e-08,0
491,1.9078116699968004e-08,2.5467383300031996e-08,0
492,1.2644622149327943e-08,1.7056177850672056e-08,0
493,4.225886422542788e-09,9.275113577457213e-09,0
494,6.894326380450522e-10,3.739557361954947e-09,0
495,5.915845010021176e-11,9.770415498997882e-10,0
496,3.359003478445774e-12,1.5058299652155424e-10,0
497,1.7578800164975214e-13,1.993071199835025e-11,0
498,9.820299182343605e-13,1.614427008176564e-11,0
499,3.101443803016016e-11,7.494356196983985e-11,0
500,5.527309903851947e-10,3.3440700961480536e-10,0
501,5.008075601663037e-09,-1.892356016630366e-10,0
502,2.2497051101373127e-08,-5.8499511013731285e-09,0
503,5.258421116673987e-08,-1.382841116673987e-08,0
504,7.188058252618825e-08,-8.42068252618824e-09,0
505,6.460156492097742e-08,9.727935079022584e-09,0
506,3.914579068210397e-08,2.4206809317896033e-08,0
507,1.6178970307547465e-08,2.3337529692452537e-08,1
508,5.022617245308307e-09,1.2652882754691691e-08,1
509,1.214967918386353e-09,4.392562081613646e-09,1
510,1.986840621320259e-10,1.1113559378679743e-09,0
511,1.8584649076515367e-11,2.1079535092348465e-10,0
