,V218M,max,diff,True
72,1.1845098454861851e-06,1.2811640907445192e-06,-6.182908454861852e-07,0
73,2.4749784166229077e-06,1.2811640907445192e-06,-1.4906044166229077e-06,1
74,3.6954779470495317e-06,1.2811640907445192e-06,-2.1811579470495315e-06,1
75,4.218997095676157e-06,1.2811640907445192e-06,-2.1037570956761567e-06,1
76,4.366076779714783e-06,1.2811640907445192e-06,-1.5851167797147834e-06,1
77,4.61948141263312e-06,1.2811640907445192e-06,-1.2252614126331204e-06,0
78,4.790310696942734e-06,1.2811640907445192e-06,-1.0415906969427342e-06,0
79,4.42293670811639e-06,1.2811640907445192e-06,-7.070767081163901e-07,0
80,3.4536221502909668e-06,1.2811640907445192e-06,-2.3444215029096687e-07,0
81,2.2789190492936416e-06,1.2811640907445192e-06,7.44509507063586e-08,0
82,1.3364338465746187e-06,1.2811640907445192e-06,1.8755615342538142e-07,0
83,8.332237750382677e-07,1.2811640907445192e-06,2.2122622496173226e-07,0
84,8.838947874728625e-07,1.2811640907445192e-06,1.1251421252713748e-07,0
85,1.560782218889036e-06,1.2811640907445192e-06,-3.0239221888903604e-07,0
86,2.72371468292674e-06,1.2811640907445192e-06,-1.0245246829267399e-06,1
87,4.201694146059518e-06,1.2811640907445192e-06,-1.751054146059518e-06,1
88,6.64376687651442e-06,1.2811640907445192e-06,-2.12746687651442e-06,1
89,1.2821953232065804e-05,1.2811640907445192e-06,-2.4206532320658027e-06,1
90,2.6778564343998345e-05,1.2811640907445192e-06,-3.147264343998343e-06,0
91,4.815773301729245e-05,1.2811640907445192e-06,-3.7005330172924417e-06,0
92,6.672776258733907e-05,1.2811640907445192e-06,-2.8976625873390767e-06,0
93,6.856977544098244e-05,1.2811640907445192e-06,-1.3830754409824373e-06,0
94,5.086072162783445e-05,1.2811640907445192e-06,-4.835216278344481e-07,0
95,2.591599999411973e-05,1.2811640907445192e-06,-1.7269999411973047e-07,0
96,4.512685586782546e-06,1.2811640907445192e-06,3.721441321745445e-08,0
97,4.476214537706232e-06,1.2811640907445192e-06,4.165154622937685e-07,0
98,2.6674061592243846e-06,1.2811640907445192e-06,4.696938407756154e-07,0
99,1.158534299483206e-06,1.2811640907445192e-06,2.7863570051679416e-07,0
100,5.122261525575997e-07,1.2811640907445192e-06,1.4259784744240027e-07,0
101,2.838108502741041e-07,1.2811640907445192e-06,1.1306714972589593e-07,0
102,2.1451416787865336e-07,1.2811640907445192e-06,8.437583212134664e-08,0
103,3.4446197587718586e-07,1.2811640907445192e-06,-5.057797587718587e-08,0
104,8.106724135896296e-07,1.2811640907445192e-06,-3.738744135896296e-07,0
105,1.611553391586849e-06,1.2811640907445192e-06,-8.430883915868489e-07,1
106,2.4429230360183383e-06,1.2811640907445192e-06,-1.1051430360183383e-06,1
107,3.253276596046608e-06,1.2811640907445192e-06,-1.0134765960466083e-06,1
108,4.354770254183916e-06,1.2811640907445192e-06,-8.608502541839165e-07,0
109,5.660955182199384e-06,1.2811640907445192e-06,-7.060851821993845e-07,0
110,6.611950260585023e-06,1.2811640907445192e-06,-2.767002605850227e-07,0
111,6.591074879984279e-06,1.2811640907445192e-06,4.647151200157207e-07,0
112,5.4179788948496074e-06,1.2811640907445192e-06,1.066291105150393e-06,0
113,3.6330175981333923e-06,1.2811640907445192e-06,1.2025924018666075e-06,0
114,2.061973508417112e-06,1.2811640907445192e-06,1.0605864915828877e-06,1
115,1.3060913989185905e-06,1.2811640907445192e-06,8.042486010814097e-07,1
116,1.5123881831172947e-06,1.2811640907445192e-06,4.2629181688270533e-07,0
117,2.435810035763461e-06,1.2811640907445192e-06,8.39996423653911e-09,0
118,3.833402810923702e-06,1.2811640907445192e-06,-5.223528109237021e-07,0
119,5.768186495405547e-06,1.2811640907445192e-06,-1.1418764954055467e-06,1
120,9.543700613109854e-06,1.2811640907445192e-06,-1.3416706131098545e-06,0
121,1.8990117983138754e-05,1.2811640907445192e-06,-9.388179831387532e-07,0
122,3.8081047136593684e-05,1.2811640907445192e-06,-2.411471365936871e-07,0
123,6.355957838838438e-05,1.2811640907445192e-06,5.309216116156193e-07,0
124,8.038710970201634e-05,1.2811640907445192e-06,1.76339029798366e-06,0
125,7.401475547126673e-05,1.2811640907445192e-06,3.389644528733259e-06,0
126,4.852060827381962e-05,1.2811640907445192e-06,3.978391726180371e-06,1
127,2.193192241057536e-05,1.2811640907445192e-06,2.6853775894246376e-06,1
128,2.6684587847146853e-06,1.2811640907445192e-06,6.606612152853145e-07,0
129,2.7661771857426357e-06,1.2811640907445192e-06,7.281728142573641e-07,0
130,1.8845998580205292e-06,1.2811640907445192e-06,3.2414014197947123e-07,0
131,1.069288527315779e-06,1.2811640907445192e-06,-5.58527315779233e-10,0
132,6.059244612592933e-07,1.2811640907445192e-06,-1.926046125929331e-08,0
133,3.365109205436988e-07,1.2811640907445192e-06,6.866107945630123e-08,0
134,1.976015123475346e-07,1.2811640907445192e-06,9.208548765246536e-08,0
135,1.9883392189333264e-07,1.2811640907445192e-06,3.028007810666736e-08,0
136,3.9257186263250375e-07,1.2811640907445192e-06,-1.0232686263250374e-07,0
137,8.538487415009732e-07,1.2811640907445192e-06,-2.7109574150097313e-07,1
138,1.7073456926551902e-06,1.2811640907445192e-06,-3.951056926551903e-07,0
139,3.1208096264941398e-06,1.2811640907445192e-06,-4.1518962649413967e-07,0
140,5.03383144999079e-06,1.2811640907445192e-06,-1.9346144999078985e-07,0
141,7.179073214209636e-06,1.2811640907445192e-06,4.3610678579036506e-07,0
142,9.028624325917401e-06,1.2811640907445192e-06,1.4052756740825988e-06,0
143,9.465273762256732e-06,1.2811640907445192e-06,2.335426237743267e-06,0
144,7.81434505228872e-06,1.2811640907445192e-06,2.7315549477112785e-06,0
145,4.9866257910938935e-06,1.2811640907445192e-06,2.485604208906107e-06,1
146,2.647215216528219e-06,1.2811640907445192e-06,1.8985947834717806e-06,1
147,1.7083758748082475e-06,1.2811640907445192e-06,1.2264241251917528e-06,1
148,1.954491277916449e-06,1.2811640907445192e-06,8.16198722083551e-07,0
149,3.0124253428650163e-06,1.2811640907445192e-06,7.684746571349834e-07,0
150,4.798213614369921e-06,1.2811640907445192e-06,5.162963856300794e-07,0
151,7.4512238007948945e-06,1.2811640907445192e-06,4.566619920510494e-08,0
152,1.2695071381869944e-05,1.2811640907445192e-06,3.693286181300554e-07,0
153,2.454162950031125e-05,1.2811640907445192e-06,2.1977704996887498e-06,0
154,4.531865891658652e-05,1.2811640907445192e-06,5.0450410834134826e-06,1
155,6.858967827539351e-05,1.2811640907445192e-06,7.140321724606485e-06,1
156,7.877555979012985e-05,1.2811640907445192e-06,7.577740209870149e-06,0
157,6.607888106969089e-05,1.2811640907445192e-06,7.362818930309106e-06,1
158,3.968375378120056e-05,1.2811640907445192e-06,6.211346218799437e-06,1
159,1.6670423408444707e-05,1.2811640907445192e-06,3.5317765915552946e-06,1
160,1.7235371420674896e-06,1.2811640907445192e-06,7.347028579325107e-07,1
161,1.9709652273046985e-06,1.2811640907445192e-06,6.915147726953013e-07,1
162,1.5025941385807012e-06,1.2811640907445192e-06,3.28345861419299e-07,0
163,9.041085354301045e-07,1.2811640907445192e-06,1.5734146456989554e-07,0
164,4.949859456857279e-07,1.2811640907445192e-06,2.056170543142721e-07,0
165,2.5427660076333474e-07,1.2811640907445192e-06,2.540943992366653e-07,0
166,1.2093787768454426e-07,1.2811640907445192e-06,2.2259312231545572e-07,0
167,8.571229087211952e-08,1.2811640907445192e-06,1.489497091278805e-07,0
168,1.986187773702271e-07,1.2811640907445192e-06,7.070522262977295e-08,0
169,6.372199032595871e-07,1.2811640907445192e-06,4.09909674041288e-09,0
170,1.7377757277439133e-06,1.2811640907445192e-06,6.484272256086622e-09,0
171,3.7587889048005134e-06,1.2811640907445192e-06,2.9608109519948615e-07,0
172,6.6824671034416275e-06,1.2811640907445192e-06,1.1176428965583733e-06,0
173,1.025048778005096e-05,1.2811640907445192e-06,2.33261221994904e-06,0
174,1.3301929536571865e-05,1.2811640907445192e-06,3.504170463428133e-06,1
