,R273H,max,diff,True
296,1.0059856022275491e-06,1.1061684089567915e-06,2.745043977724509e-07,0
297,4.516028529018014e-06,1.1061684089567915e-06,4.014414709819856e-07,0
298,1.52485459045461e-05,1.1061684089567915e-06,5.709540954539005e-07,0
299,3.7090938171568466e-05,1.1061684089567915e-06,8.774618284315342e-07,0
300,6.558071726360504e-05,1.1061684089567915e-06,7.282827363949489e-07,0
301,8.713018354350501e-05,1.1061684089567915e-06,-1.0609835435050017e-06,0
302,8.932963180996479e-05,1.1061684089567915e-06,-4.4158318099647974e-06,0
303,7.090603782981208e-05,1.1061684089567915e-06,-7.123037829812084e-06,1
304,4.394719430342018e-05,1.1061684089567915e-06,-6.987794303420183e-06,1
305,2.302989864250369e-05,1.1061684089567915e-06,-4.834198642503689e-06,1
306,1.2649568376096214e-05,1.1061684089567915e-06,-3.0170083760962136e-06,1
307,8.617825774888907e-06,1.1061684089567915e-06,-1.9204857748889076e-06,1
308,6.535026119197324e-06,1.1061684089567915e-06,-8.504361191973229e-07,0
309,5.2627577714305545e-06,1.1061684089567915e-06,4.49922285694456e-08,0
310,5.833107762719096e-06,1.1061684089567915e-06,1.3382223728090363e-07,0
311,1.0738974415234975e-05,1.1061684089567915e-06,-1.0007144152349753e-06,0
312,2.390644873555072e-05,1.1061684089567915e-06,-2.7153487355507183e-06,0
313,4.8243416305462514e-05,1.1061684089567915e-06,-2.6734163054625146e-06,0
314,7.919791755304001e-05,1.1061684089567915e-06,6.829824469599849e-07,0
315,0.00010370941526873496,1.1061684089567915e-06,4.32758473126505e-06,0
316,0.00011061684089567915,1.1061684089567915e-06,4.600159104320854e-06,0
317,9.665312674700048e-05,1.1061684089567915e-06,2.90257325299952e-06,0
318,6.573185751401818e-05,1.1061684089567915e-06,1.4041424859818235e-06,0
319,3.1641739388612074e-05,1.1061684089567915e-06,2.6166061138792915e-07,0
320,2.51327823643031e-06,1.1061684089567915e-06,2.3852176356969e-07,0
321,2.294844059573305e-06,1.1061684089567915e-06,3.7938594042669534e-07,0
322,1.2436332614631122e-06,1.1061684089567915e-06,3.810667385368879e-07,0
323,4.813519128361825e-07,1.1061684089567915e-06,2.6590108716381754e-07,0
324,1.7367369197222226e-07,1.1061684089567915e-06,1.3077530802777777e-07,0
325,6.677284414970978e-08,1.1061684089567915e-06,6.684515585029022e-08,0
326,5.2324781960755525e-08,1.1061684089567915e-06,5.777021803924447e-08,0
327,2.480011405427423e-07,1.1061684089567915e-06,5.6551859457257694e-08,0
328,1.500509593115779e-06,1.1061684089567915e-06,9.430406884220912e-09,0
329,6.871306151462666e-06,1.1061684089567915e-06,-8.269615146266483e-08,0
330,2.208454658541029e-05,1.1061684089567915e-06,2.767534145897139e-07,0
