,I251L,max,diff,True
154,4.8537753752246504e-05,1.076209015523905e-06,1.8259462477534963e-06,0
155,7.538817506570094e-05,1.076209015523905e-06,3.41824934299055e-07,0
156,8.968776039159101e-05,1.076209015523905e-06,-3.334460391591013e-06,0
157,7.895291488620878e-05,1.076209015523905e-06,-5.511214886208784e-06,0
158,5.027104840712629e-05,1.076209015523905e-06,-4.375948407126289e-06,1
159,2.260113316216301e-05,1.076209015523905e-06,-2.3989331621630096e-06,1
160,2.802654026516669e-06,1.076209015523905e-06,-3.444140265166688e-07,0
161,2.7502719183472244e-06,1.076209015523905e-06,-8.779191834722458e-08,0
162,1.7184208374515927e-06,1.076209015523905e-06,1.1251916254840749e-07,0
163,9.042716500629721e-07,1.076209015523905e-06,1.5717834993702795e-07,0
164,5.199748309097486e-07,1.076209015523905e-06,1.8062816909025139e-07,0
165,3.226023065986861e-07,1.076209015523905e-06,1.857686934013139e-07,0
166,2.2006730862458048e-07,1.076209015523905e-06,1.234636913754195e-07,0
167,1.9573535803971835e-07,1.076209015523905e-06,3.892664196028166e-08,0
168,3.797955522946167e-07,1.076209015523905e-06,-1.1047155229461667e-07,0
169,1.076679064672777e-06,1.076209015523905e-06,-4.3536006467277696e-07,1
170,2.7727696615664837e-06,1.076209015523905e-06,-1.0285096615664838e-06,1
171,5.903498845146872e-06,1.076209015523905e-06,-1.8486288451468729e-06,1
172,1.0079282252350557e-05,1.076209015523905e-06,-2.2791722523505563e-06,1
173,1.4080564044081326e-05,1.076209015523905e-06,-1.4974640440813262e-06,0
174,1.6883944978080125e-05,1.076209015523905e-06,-7.784497808012658e-08,0
175,1.7711519815954377e-05,1.076209015523905e-06,1.3018018404562559e-07,0
176,1.575634524606133e-05,1.076209015523905e-06,-1.1254452460613306e-06,0
177,1.1122458966448764e-05,1.076209015523905e-06,-1.6884789664487641e-06,1
178,5.8427725443892274e-06,1.076209015523905e-06,-5.945825443892281e-07,0
179,2.382430085827756e-06,1.076209015523905e-06,7.672899141722436e-07,0
180,1.3453957854800391e-06,1.076209015523905e-06,1.603204214519961e-06,1
181,2.020282034891628e-06,1.076209015523905e-06,2.094517965108372e-06,1
182,3.7148737803121032e-06,1.076209015523905e-06,2.2846662196878978e-06,1
183,6.955087844571948e-06,1.076209015523905e-06,2.225832155428052e-06,1
184,1.4856148966414914e-05,1.076209015523905e-06,1.759151033585086e-06,0
185,3.122676423742935e-05,1.076209015523905e-06,8.735357625706504e-07,0
186,5.50518128833777e-05,1.076209015523905e-06,4.0871166223015e-09,0
187,7.714572941172902e-05,1.076209015523905e-06,-1.9824294117290166e-06,0
188,8.359215265181875e-05,1.076209015523905e-06,-5.287952651818751e-06,0
189,6.840000817563188e-05,1.076209015523905e-06,-6.669108175631877e-06,0
190,4.1483641744346576e-05,1.076209015523905e-06,-4.937041744346576e-06,1
191,1.8050062814427787e-05,1.076209015523905e-06,-2.4174628144277874e-06,1
192,2.1889180715472666e-06,1.076209015523905e-06,1.015519284527333e-07,0
193,2.4007505740509478e-06,1.076209015523905e-06,3.7660942594905226e-07,0
194,1.7623832784486485e-06,1.076209015523905e-06,4.5151672155135114e-07,0
195,1.027605172875334e-06,1.076209015523905e-06,4.4654482712466585e-07,0
196,5.526915396002094e-07,1.076209015523905e-06,4.583284603997907e-07,0
197,3.2782243792931217e-07,1.076209015523905e-06,3.7028456207068785e-07,0
198,2.3764119339783773e-07,1.076209015523905e-06,2.0690280660216225e-07,0
199,2.5090665028083217e-07,1.076209015523905e-06,4.6204349719167795e-08,0
200,5.478923400628836e-07,1.076209015523905e-06,-1.6721934006288354e-07,0
201,1.6130293069340627e-06,1.076209015523905e-06,-5.807393069340627e-07,1
202,4.377263093920742e-06,1.076209015523905e-06,-1.4121730939207417e-06,1
203,9.468602612769624e-06,1.076209015523905e-06,-2.4383626127696257e-06,1
204,1.6059176121973857e-05,1.076209015523905e-06,-2.642576121973856e-06,1
205,2.2343623442166035e-05,1.076209015523905e-06,-1.5307234421660368e-06,0
206,2.6458155585848034e-05,1.076209015523905e-06,-4.2055558584803157e-07,0
207,2.631565920443328e-05,1.076209015523905e-06,-8.394592044332811e-07,0
208,2.116435632406055e-05,1.076209015523905e-06,-1.9830563240605494e-06,0
209,1.3401918492559566e-05,1.076209015523905e-06,-1.929318492559567e-06,1
210,6.619513276038039e-06,1.076209015523905e-06,-6.000032760380383e-07,0
211,2.6555495697826614e-06,1.076209015523905e-06,7.155704302173381e-07,0
212,1.300938469012442e-06,1.076209015523905e-06,1.443681530987558e-06,1
