,P152L,max,diff,True
157,7.552928830906242e-05,1.074837602992724e-06,-2.087588309062418e-06,0
158,4.545455281817285e-05,1.074837602992724e-06,4.4054718182714737e-07,0
159,1.952292878633116e-05,1.074837602992724e-06,6.79271213668841e-07,0
160,2.269234500590971e-06,1.074837602992724e-06,1.890054994090292e-07,0
161,2.958828497102908e-06,1.074837602992724e-06,-2.9634849710290823e-07,0
162,2.682604954700177e-06,1.074837602992724e-06,-8.516649547001767e-07,1
163,1.8674934343761197e-06,1.074837602992724e-06,-8.060434343761197e-07,1
164,1.08667698073176e-06,1.074837602992724e-06,-3.860739807317601e-07,0
165,6.001932321870575e-07,1.074837602992724e-06,-9.182223218705747e-08,0
166,3.657706895876909e-07,1.074837602992724e-06,-2.2239689587690943e-08,0
167,2.608073569219995e-07,1.074837602992724e-06,-2.6145356921999487e-08,0
168,3.385387764991072e-07,1.074837602992724e-06,-6.921477649910716e-08,0
169,8.366482614702725e-07,1.074837602992724e-06,-1.953292614702725e-07,1
170,2.107662238787419e-06,1.074837602992724e-06,-3.6340223878741904e-07,0
171,4.451182336996759e-06,1.074837602992724e-06,-3.9631233699675934e-07,0
172,7.628097066803773e-06,1.074837602992724e-06,1.7201293319622748e-07,0
173,1.067612057912066e-05,1.074837602992724e-06,1.9069794208793396e-06,0
174,1.2675660464718e-05,1.074837602992724e-06,4.130439535281999e-06,1
175,1.3121126233408224e-05,1.074837602992724e-06,4.720573766591778e-06,1
176,1.1712003905300615e-05,1.074837602992724e-06,2.918896094699384e-06,1
177,9.020843554642713e-06,1.074837602992724e-06,4.1313644535728726e-07,0
178,6.162855491656077e-06,1.074837602992724e-06,-9.14665491656078e-07,0
179,3.98088756000514e-06,1.074837602992724e-06,-8.3116756000514e-07,0
180,3.055928275585369e-06,1.074837602992724e-06,-1.0732827558536878e-07,0
181,3.6429146784494988e-06,1.074837602992724e-06,4.718853215505012e-07,0
182,5.6341243273521444e-06,1.074837602992724e-06,3.6541567264785656e-07,0
183,1.020186765220448e-05,1.074837602992724e-06,-1.0209476522044792e-06,0
184,2.1109881687034093e-05,1.074837602992724e-06,-4.4945816870340925e-06,1
185,4.180648751832023e-05,1.074837602992724e-06,-9.706187518320226e-06,1
186,6.896040064410768e-05,1.074837602992724e-06,-1.390450064410768e-05,1
187,8.898265498078946e-05,1.074837602992724e-06,-1.3819354980789458e-05,1
188,8.808808335831342e-05,1.074837602992724e-06,-9.783883358313415e-06,1
189,6.689955690265848e-05,1.074837602992724e-06,-5.168656902658478e-06,0
190,3.851451852672373e-05,1.074837602992724e-06,-1.967918526723733e-06,0
191,1.606272437038815e-05,1.074837602992724e-06,-4.301243703881516e-07,0
192,2.2099734102221296e-06,1.074837602992724e-06,8.04965897778703e-08,0
193,3.229431782928279e-06,1.074837602992724e-06,-4.5207178292827887e-07,0
194,3.2305797972693784e-06,1.074837602992724e-06,-1.0166797972693787e-06,1
195,2.336256710693613e-06,1.074837602992724e-06,-8.621067106936132e-07,1
196,1.2743962704963294e-06,1.074837602992724e-06,-2.633762704963293e-07,0
197,6.126114084309245e-07,1.074837602992724e-06,8.549559156907555e-08,0
198,3.293837042228879e-07,1.074837602992724e-06,1.1516029577711206e-07,0
199,2.388519595755783e-07,1.074837602992724e-06,5.825904042442169e-08,0
200,4.307083491616313e-07,1.074837602992724e-06,-5.003534916163131e-08,0
201,1.3839122328963086e-06,1.074837602992724e-06,-3.516222328963086e-07,0
202,3.934788972562892e-06,1.074837602992724e-06,-9.696989725628914e-07,1
203,8.681352010405432e-06,1.074837602992724e-06,-1.6511120104054335e-06,1
204,1.5012645624928229e-05,1.074837602992724e-06,-1.5960456249282278e-06,0
205,2.0929943433524742e-05,1.074837602992724e-06,-1.170434335247439e-07,0
206,2.4385922839996607e-05,1.074837602992724e-06,1.6516771600033957e-06,0
207,2.3871470447081216e-05,1.074837602992724e-06,1.6047295529187823e-06,0
208,1.9101409007475047e-05,1.074837602992724e-06,7.989099252495566e-08,0
209,1.2508751169854755e-05,1.074837602992724e-06,-1.036151169854756e-06,0
210,7.147496146031192e-06,1.074837602992724e-06,-1.1279861460311915e-06,0
211,4.1139747453407335e-06,1.074837602992724e-06,-7.42854745340734e-07,0
212,3.027022351262545e-06,1.074837602992724e-06,-2.8240235126254484e-07,0
213,3.3010595061862497e-06,1.074837602992724e-06,1.7060049381375016e-07,0
214,5.03844636229002e-06,1.074837602992724e-06,2.9946363770997917e-07,0
215,1.0063250303243796e-05,1.074837602992724e-06,-7.777703032437964e-07,0
216,2.151389201364382e-05,1.074837602992724e-06,-3.82029201364382e-06,1
217,4.1328115104960605e-05,1.074837602992724e-06,-8.315515104960602e-06,1
218,6.58172436503554e-05,1.074837602992724e-06,-1.2042443650355396e-05,1
219,8.302962984120299e-05,1.074837602992724e-06,-1.2954829841202995e-05,1
220,8.129486108260065e-05,1.074837602992724e-06,-1.1378661082600647e-05,1
221,6.137804679240709e-05,1.074837602992724e-06,-8.091546792407089e-06,1
222,3.509138634398741e-05,1.074837602992724e-06,-3.7850863439874055e-06,1
223,1.4565005947442417e-05,1.074837602992724e-06,-7.615059474424179e-07,0
224,2.8308548720666904e-06,1.074837602992724e-06,3.144751279333098e-07,0
225,4.2898831331303684e-06,1.074837602992724e-06,-2.0571313313036905e-07,0
226,4.202032719222504e-06,1.074837602992724e-06,-8.14442719222504e-07,0
227,2.842050613070287e-06,1.074837602992724e-06,-6.081206130702871e-07,0
228,1.437504034926559e-06,1.074837602992724e-06,-1.4694034926558968e-08,0
229,6.351201213613344e-07,1.074837602992724e-06,2.524238786386656e-07,0
230,2.995311064304502e-07,1.074837602992724e-06,2.306528935695498e-07,0
231,2.460009981340326e-07,1.074837602992724e-06,1.4389000186596737e-07,0
232,6.815130975498075e-07,1.074837602992724e-06,-3.748709754980745e-08,0
233,2.4311426635945428e-06,1.074837602992724e-06,-5.63432663594543e-07,0
234,6.901632916176257e-06,1.074837602992724e-06,-1.5862629161762575e-06,0
235,1.5093134369296644e-05,1.074837602992724e-06,-2.6802343692966443e-06,1
236,2.582583006885707e-05,1.074837602992724e-06,-2.825530068857071e-06,0
237,3.562793857699589e-05,1.074837602992724e-06,-1.6805385769958918e-06,0
238,4.08512371801215e-05,1.074837602992724e-06,-1.0079371801215042e-06,0
239,3.844380466312944e-05,1.074837602992724e-06,-1.85700466312944e-06,0
240,2.880460475298308e-05,1.074837602992724e-06,-2.6571047529830806e-06,0
241,1.7491684049565248e-05,1.074837602992724e-06,-2.373084049565248e-06,1
242,9.744716175782764e-06,1.074837602992724e-06,-1.7856761757827637e-06,1
243,6.243020727263393e-06,1.074837602992724e-06,-1.5753107272633938e-06,1
244,4.948178860468986e-06,1.074837602992724e-06,-1.2449088604689866e-06,0
245,4.325113962442292e-06,1.074837602992724e-06,-2.784939624422917e-07,0
246,4.830802147195955e-06,1.074837602992724e-06,6.757678528040446e-07,0
247,8.692597650802804e-06,1.074837602992724e-06,4.804323491971969e-07,0
248,1.854227136023739e-05,1.074837602992724e-06,-1.1377713602373918e-06,0
249,3.58870325338359e-05,1.074837602992724e-06,-3.1994325338358974e-06,0
250,5.8474602865769556e-05,1.074837602992724e-06,-4.8354028657695566e-06,0
251,7.672306864444117e-05,1.074837602992724e-06,-6.500168644441167e-06,1
252,7.839428130076695e-05,1.074837602992724e-06,-7.507781300766957e-06,1
253,6.155805751129391e-05,1.074837602992724e-06,-5.3266575112939085e-06,1
254,3.684252864256089e-05,1.074837602992724e-06,-1.0875286425608905e-06,0
255,1.6357498385720334e-05,1.074837602992724e-06,1.0717016142796653e-06,0
256,4.122595279804022e-06,1.074837602992724e-06,4.97394720195978e-07,0
257,5.608682988438985e-06,1.074837602992724e-06,6.724701156101568e-08,0
258,4.748919137195412e-06,1.074837602992724e-06,-3.919291371954119e-07,0
259,2.7621811730692257e-06,1.074837602992724e-06,-1.4526117306922566e-07,0
260,1.217896072876815e-06,1.074837602992724e-06,2.7329392712318494e-07,0
261,4.622036570272471e-07,1.074837602992724e-06,3.727223429727528e-07,0
262,1.9876099108082646e-07,1.074837602992724e-06,2.9135600891917353e-07,0
263,2.694840679951076e-07,1.074837602992724e-06,1.768619320048924e-07,0
264,1.1117330671373604e-06,1.074837602992724e-06,-1.3228206713736042e-07,0
265,4.158124753886343e-06,1.074837602992724e-06,-1.0116847538863434e-06,0
266,1.1657873609636834e-05,1.074837602992724e-06,-2.3200836096368343e-06,0
267,2.4848226128269643e-05,1.074837602992724e-06,-2.7136261282696433e-06,0
268,4.1381177695934026e-05,1.074837602992724e-06,-1.117777695934028e-06,0
269,5.57553729034217e-05,1.074837602992724e-06,7.898270965783012e-07,0
270,6.174124617532885e-05,1.074837602992724e-06,3.1815382467114653e-07,0
271,5.4736290673863017e-05,1.074837602992724e-06,-1.6889906738630205e-06,0
272,3.7974900249851614e-05,1.074837602992724e-06,-2.625000249851615e-06,0
273,2.1839559750011708e-05,1.074837602992724e-06,-2.380759750011707e-06,1
274,1.2778977791088186e-05,1.074837602992724e-06,-2.2723777910881855e-06,1
275,9.383219388685307e-06,1.074837602992724e-06,-2.426939388685307e-06,1
276,7.831744112188821e-06,1.074837602992724e-06,-1.925244112188821e-06,1
277,6.207339200241986e-06,1.074837602992724e-06,-4.3062920024198693e-07,0
278,5.179757309939203e-06,1.074837602992724e-06,1.3144026900607965e-06,0
279,7.153629206877748e-06,1.074837602992724e-06,2.4543107931222514e-06,1
280,1.5179063457673444e-05,1.074837602992724e-06,3.190736542326558e-06,1
281,3.215121235238533e-05,1.074837602992724e-06,4.367287647614672e-06,0
282,5.763043300898624e-05,1.074837602992724e-06,4.8666669910137615e-06,0
283,8.165607580250264e-05,1.074837602992724e-06,2.576924197497351e-06,0
284,8.855186740489785e-05,1.074837602992724e-06,3.882325951021519e-07,0
285,7.357988846236079e-05,1.074837602992724e-06,2.411911537639208e-06,0
286,4.699266547383957e-05,1.074837602992724e-06,5.298734526160438e-06,1
287,2.2251167647934564e-05,1.074837602992724e-06,4.391432352065437e-06,1
288,4.100364747207074e-06,1.074837602992724e-06,6.617052527929261e-07,0
289,4.696041590757946e-06,1.074837602992724e-06,4.980784092420527e-07,0
290,3.2972731816921896e-06,1.074837602992724e-06,2.2254681830781028e-07,0
291,1.5944570638075618e-06,1.074837602992724e-06,2.5122293619243806e-07,0
292,5.992650261698419e-07,1.074837602992724e-06,3.004469738301581e-07,0
293,2.1016804343294125e-07,1.074837602992724e-06,2.372649565670587e-07,0
294,1.2405958369747815e-07,1.074837602992724e-06,1.6054041630252185e-07,0
295,3.7015699555031326e-07,1.074837602992724e-06,2.4603004449686708e-08,0
296,1.814049925468917e-06,1.074837602992724e-06,-5.335599254689171e-07,0
297,6.7670933525145475e-06,1.074837602992724e-06,-1.849623352514548e-06,1
298,1.856010583000185e-05,1.074837602992724e-06,-2.7406058300018514e-06,1
299,3.851913850398627e-05,1.074837602992724e-06,-5.507385039862692e-07,0
300,6.219429775169962e-05,1.074837602992724e-06,4.114702248300372e-06,0
301,7.960227647210121e-05,1.074837602992724e-06,6.466923527898797e-06,1
302,7.999374895295191e-05,1.074837602992724e-06,4.920051047048086e-06,0
303,6.15716678968297e-05,1.074837602992724e-06,2.2113321031702913e-06,0
304,3.653876360693403e-05,1.074837602992724e-06,4.2063639306597035e-07,0
305,1.8654436149450006e-05,1.074837602992724e-06,-4.587361494500067e-07,0
306,1.0643163496610046e-05,1.074837602992724e-06,-1.010603496610045e-06,0
307,7.921135782382976e-06,1.074837602992724e-06,-1.2237957823829768e-06,0
308,6.458241281238375e-06,1.074837602992724e-06,-7.736512812383742e-07,0
309,4.9172836316131315e-06,1.074837602992724e-06,3.904663683868686e-07,0
310,3.995109349516446e-06,1.074837602992724e-06,1.971820650483554e-06,0
311,5.9265415553970255e-06,1.074837602992724e-06,3.8117184446029747e-06,1
312,1.461172523118643e-05,1.074837602992724e-06,6.579374768813572e-06,1
313,3.509372235114828e-05,1.074837602992724e-06,1.0476277648851717e-05,1
314,6.75961848256736e-05,1.074837602992724e-06,1.2284715174326396e-05,1
315,9.846650864305876e-05,1.074837602992724e-06,9.57049135694125e-06,0
316,0.00010748376029927239,1.074837602992724e-06,7.733239700727612e-06,0
317,8.929682603009562e-05,1.074837602992724e-06,1.0258873969904377e-05,1
318,5.642516760531513e-05,1.074837602992724e-06,1.0710832394684875e-05,1
319,2.5778049720090525e-05,1.074837602992724e-06,6.125350279909478e-06,1
320,1.9851128705327504e-06,1.074837602992724e-06,7.666871294672496e-07,0
321,1.9116703344415888e-06,1.074837602992724e-06,7.625596655584114e-07,0
322,1.1225532518333671e-06,1.074837602992724e-06,5.02146748166633e-07,0
323,4.644099989775527e-07,1.074837602992724e-06,2.828430010224473e-07,0
324,1.651732468899783e-07,1.074837602992724e-06,1.3927575311002173e-07,0
325,6.944731672459753e-08,1.074837602992724e-06,6.417068327540247e-08,0
326,8.752994019091724e-08,1.074837602992724e-06,2.2565059809082754e-08,0
327,4.52509741193571e-07,1.074837602992724e-06,-1.47956741193571e-07,1
328,2.312384260865617e-06,1.074837602992724e-06,-8.02444260865617e-07,1
329,8.674743502083455e-06,1.074837602992724e-06,-1.8861335020834533e-06,1
330,2.377845792167367e-05,1.074837602992724e-06,-1.4171579216736664e-06,0
331,4.820116467436813e-05,1.074837602992724e-06,2.7169353256318725e-06,0
332,7.338641528965113e-05,1.074837602992724e-06,7.368384710348865e-06,1
333,8.388373130177257e-05,1.074837602992724e-06,8.271768698227429e-06,1
334,7.082316062393979e-05,1.074837602992724e-06,6.354739376060215e-06,1
335,4.389853472084269e-05,1.074837602992724e-06,3.7384652791573082e-06,0
336,2.0759517135360774e-05,1.074837602992724e-06,1.6693828646392237e-06,0
337,8.755911527915865e-06,1.074837602992724e-06,5.421184720841353e-07,0
338,4.4841661155061405e-06,1.074837602992724e-06,4.569388449385969e-08,0
339,3.1213289791281144e-06,1.074837602992724e-06,-6.797897912811469e-08,0
340,2.4260529471066288e-06,1.074837602992724e-06,1.0573705289337141e-07,0
341,1.9489950489353824e-06,1.074837602992724e-06,5.496449510646175e-07,0
342,2.203343019172221e-06,1.074837602992724e-06,1.3328269808277788e-06,0
343,5.106677679257774e-06,1.074837602992724e-06,2.7846223207422262e-06,1
344,1.5076884407549045e-05,1.074837602992724e-06,5.621015592450956e-06,1
345,3.7388342751989756e-05,1.074837602992724e-06,9.526957248010238e-06,1
346,7.002396858717516e-05,1.074837602992724e-06,1.102973141282483e-05,1
347,9.708290930989374e-05,1.074837602992724e-06,8.84509069010625e-06,0
348,0.0001002504772912148,1.074837602992724e-06,8.496522708785213e-06,0
349,7.781262057427074e-05,1.074837602992724e-06,1.0692279425729258e-05,1
350,4.4825934213860505e-05,1.074837602992724e-06,9.029065786139493e-06,1
351,1.8213777928998573e-05,1.074837602992724e-06,4.060422071001428e-06,1
352,4.314203833702432e-07,1.074837602992724e-06,4.593866166297567e-07,0
353,3.465864243531776e-07,1.074837602992724e-06,4.5091757564682237e-07,0
354,1.6711869479359883e-07,1.074837602992724e-06,2.846483052064011e-07,0
355,5.842783775915898e-08,1.074837602992724e-06,1.32166162240841e-07,0
356,1.984099790481174e-08,1.074837602992724e-06,5.061950209518826e-08,0
357,1.222500655503947e-08,1.074837602992724e-06,2.0126893444960537e-08,0
358,5.296478591624824e-08,1.074837602992724e-06,-5.65308591624824e-09,0
359,3.727663904326327e-07,1.074837602992724e-06,-1.2421239043263273e-07,1
360,1.9568954808861387e-06,1.074837602992724e-06,-4.4143548088613885e-07,1
361,7.347829974258383e-06,1.074837602992724e-06,-4.866799742583827e-07,0
