,R248Q,max,diff,True
222,2.837222856140509e-05,1.277167689503329e-06,2.9340714385949106e-06,0
223,1.3498107467777741e-05,1.277167689503329e-06,3.0539253222225815e-07,0
224,2.221218591208152e-06,1.277167689503329e-06,9.24111408791848e-07,1
225,2.733699154930765e-06,1.277167689503329e-06,1.3504708450692344e-06,1
226,2.1032656147648164e-06,1.277167689503329e-06,1.2843243852351838e-06,0
227,1.1647557803891608e-06,1.277167689503329e-06,1.0691742196108391e-06,0
228,5.286783803658775e-07,1.277167689503329e-06,8.941316196341225e-07,0
229,2.0909447181110657e-07,1.277167689503329e-06,6.784495281888935e-07,0
230,1.478849077952901e-07,1.277167689503329e-06,3.822990922047099e-07,0
231,4.1960794215148796e-07,1.277167689503329e-06,-2.971694215148798e-08,0
232,1.208430348223536e-06,1.277167689503329e-06,-5.644043482235359e-07,1
233,2.8248280605012404e-06,1.277167689503329e-06,-9.571180605012406e-07,1
234,6.0123915161613525e-06,1.277167689503329e-06,-6.97021516161353e-07,0
235,1.1804719925772265e-05,1.277167689503329e-06,6.08180074227734e-07,0
236,2.0008631710955754e-05,1.277167689503329e-06,2.9916682890442466e-06,0
237,2.8224907247025237e-05,1.277167689503329e-06,5.722492752974763e-06,1
238,3.347841455441706e-05,1.277167689503329e-06,6.3648854455829385e-06,1
239,3.350364613199376e-05,1.277167689503329e-06,3.083153868006238e-06,0
240,2.724430647214288e-05,1.277167689503329e-06,-1.0968064721428792e-06,0
241,1.7514943815462354e-05,1.277167689503329e-06,-2.3963438154623543e-06,1
242,9.643677811771876e-06,1.277167689503329e-06,-1.6846378117718757e-06,1
243,5.99248109682766e-06,1.277167689503329e-06,-1.324771096827661e-06,1
244,5.2629150038811925e-06,1.277167689503329e-06,-1.5596450038811927e-06,1
245,5.2831667570415115e-06,1.277167689503329e-06,-1.2365467570415114e-06,0
246,5.097862189658919e-06,1.277167689503329e-06,4.0870781034108085e-07,0
247,6.0278752898603584e-06,1.277167689503329e-06,3.145154710139642e-06,1
248,1.0990931047177418e-05,1.277167689503329e-06,6.4135689528225816e-06,1
249,2.2373819581673786e-05,1.277167689503329e-06,1.0313780418326216e-05,1
250,3.9075286971566906e-05,1.277167689503329e-06,1.4563913028433094e-05,1
251,5.464767686785776e-05,1.277167689503329e-06,1.5575223132142245e-05,1
252,6.0771903093902684e-05,1.277167689503329e-06,1.0114596906097309e-05,1
