,E258K,max,diff,True
36,1.8651836278759997e-06,1.0232470704199929e-06,-1.1782826278759998e-06,1
37,2.2756136591161066e-06,1.0232470704199929e-06,-1.9901196591161067e-06,1
38,1.9689839894186168e-06,1.0232470704199929e-06,-1.7819149894186167e-06,1
39,1.1245678791255886e-06,1.0232470704199929e-06,-8.640838791255885e-07,1
40,4.787684015618988e-07,1.0232470704199929e-06,5.465984381011989e-10,0
41,2.785952038418268e-07,1.0232470704199929e-06,5.506267961581732e-07,0
42,4.0417006756749617e-07,1.0232470704199929e-06,8.440099324325038e-07,0
43,7.316142898269778e-07,1.0232470704199929e-06,9.133657101730222e-07,0
44,1.0333018418350209e-06,1.0232470704199929e-06,9.010381581649792e-07,0
45,1.0481687004073186e-06,1.0232470704199929e-06,9.938612995926815e-07,0
46,8.095836851472952e-07,1.0232470704199929e-06,1.1197263148527047e-06,1
47,5.550018753465339e-07,1.0232470704199929e-06,1.0842781246534662e-06,1
48,3.7809835234664456e-07,1.0232470704199929e-06,8.879116476533553e-07,1
49,2.8351132334872856e-07,1.0232470704199929e-06,5.856376766512715e-07,1
50,2.717795764354126e-07,1.0232470704199929e-06,2.6826342356458745e-07,1
51,3.3377849206382716e-07,1.0232470704199929e-06,3.9827507936172805e-08,0
52,5.557634738285768e-07,1.0232470704199929e-06,-1.8422247382857686e-07,0
53,1.093431854052511e-06,1.0232470704199929e-06,-5.906308540525111e-07,1
54,1.89964803543848e-06,1.0232470704199929e-06,-1.16619703543848e-06,1
55,2.7322446050306115e-06,1.0232470704199929e-06,-1.5974446050306114e-06,1
56,3.87194944321867e-06,1.0232470704199929e-06,-1.7322994432186701e-06,1
57,6.862280640938519e-06,1.0232470704199929e-06,-1.9811106409385193e-06,1
58,1.3822396796377176e-05,1.0232470704199929e-06,-2.4259967963771744e-06,1
59,2.4929222323228588e-05,1.0232470704199929e-06,-1.8517223232285873e-06,0
60,3.612343498120598e-05,1.0232470704199929e-06,4.237650187940197e-07,0
61,3.997306646248503e-05,1.0232470704199929e-06,2.7965335375149683e-06,0
62,3.238074650156633e-05,1.0232470704199929e-06,3.2062534984336662e-06,0
63,1.834691460413964e-05,1.0232470704199929e-06,1.7185853958603598e-06,0
64,3.250826038811428e-06,1.0232470704199929e-06,1.943553961188572e-06,1
65,3.465737532407116e-06,1.0232470704199929e-06,2.3888724675928844e-06,1
66,2.5282750335606862e-06,1.0232470704199929e-06,1.3781049664393145e-06,1
67,2.253917795169942e-06,1.0232470704199929e-06,-4.3012779516994175e-07,0
68,3.012128724065752e-06,1.0232470704199929e-06,-2.248320724065752e-06,1
69,3.453622088536073e-06,1.0232470704199929e-06,-3.072220088536073e-06,1
70,2.6481601170855253e-06,1.0232470704199929e-06,-2.3684141170855253e-06,1
71,1.3811586735785234e-06,1.0232470704199929e-06,-1.0480646735785233e-06,1
72,6.627993264985644e-07,1.0232470704199929e-06,-9.658032649856439e-08,0
73,6.760486733283241e-07,1.0232470704199929e-06,3.083253266716759e-07,0
74,1.267739129695977e-06,1.0232470704199929e-06,2.4658087030402316e-07,0
75,2.144823691866573e-06,1.0232470704199929e-06,-2.958369186657307e-08,0
76,2.7773138996078992e-06,1.0232470704199929e-06,3.646100392100654e-09,0
77,2.8170223769338553e-06,1.0232470704199929e-06,5.771976230661445e-07,0
78,2.434210137760564e-06,1.0232470704199929e-06,1.3145098622394353e-06,0
79,1.911170466994571e-06,1.0232470704199929e-06,1.804689533005429e-06,1
80,1.407160331624148e-06,1.0232470704199929e-06,1.812019668375852e-06,1
81,1.0166100447623474e-06,1.0232470704199929e-06,1.3367599552376528e-06,1
82,7.751846142013397e-07,1.0232470704199929e-06,7.488053857986604e-07,1
83,7.698832045787592e-07,1.0232470704199929e-06,2.8456679542124074e-07,0
84,1.2146048663503818e-06,1.0232470704199929e-06,-2.1819586635038187e-07,0
85,2.266393646558659e-06,1.0232470704199929e-06,-1.008003646558659e-06,1
86,3.658542689781773e-06,1.0232470704199929e-06,-1.9593526897817725e-06,1
87,5.026566030309405e-06,1.0232470704199929e-06,-2.575926030309405e-06,1
88,7.2431292206580445e-06,1.0232470704199929e-06,-2.7268292206580442e-06,1
89,1.3386004285544972e-05,1.0232470704199929e-06,-2.9847042855449706e-06,1
90,2.7049327722203807e-05,1.0232470704199929e-06,-3.418027722203805e-06,1
91,4.697178716704909e-05,1.0232470704199929e-06,-2.5145871670490823e-06,0
92,6.329081070227018e-05,1.0232470704199929e-06,5.392892977298177e-07,0
93,6.38476388651979e-05,1.0232470704199929e-06,3.3390611348020985e-06,0
94,4.7205529210979854e-05,1.0232470704199929e-06,3.1716707890201487e-06,0
95,2.4645608830512578e-05,1.0232470704199929e-06,1.0976911694874202e-06,0
96,3.106744617443642e-06,1.0232470704199929e-06,1.443155382556358e-06,1
97,3.112535780769489e-06,1.0232470704199929e-06,1.7801942192305113e-06,1
98,2.202686448156886e-06,1.0232470704199929e-06,9.344135518431142e-07,1
99,1.968454191144361e-06,1.0232470704199929e-06,-5.312841911443607e-07,0
100,2.4442242491111117e-06,1.0232470704199929e-06,-1.7894002491111118e-06,1
101,2.4947413459389e-06,1.0232470704199929e-06,-2.0978633459389e-06,1
102,1.749384948543046e-06,1.0232470704199929e-06,-1.450494948543046e-06,1
103,9.236987493462788e-07,1.0232470704199929e-06,-6.298147493462788e-07,1
104,7.083685546300422e-07,1.0232470704199929e-06,-2.715705546300422e-07,0
105,1.2765368752422692e-06,1.0232470704199929e-06,-5.080718752422692e-07,0
106,2.4989275399925083e-06,1.0232470704199929e-06,-1.1611475399925083e-06,1
107,4.023335705496501e-06,1.0232470704199929e-06,-1.7835357054965017e-06,1
108,5.256318119799205e-06,1.0232470704199929e-06,-1.7623981197992056e-06,1
109,5.737616359632417e-06,1.0232470704199929e-06,-7.82746359632418e-07,0
110,5.437412190138144e-06,1.0232470704199929e-06,8.978378098618564e-07,0
111,4.538784096834535e-06,1.0232470704199929e-06,2.517005903165464e-06,0
112,3.3528114795298608e-06,1.0232470704199929e-06,3.1314585204701396e-06,1
113,2.2713384000189885e-06,1.0232470704199929e-06,2.5642715999810113e-06,1
114,1.58171631997694e-06,1.0232470704199929e-06,1.5408436800230598e-06,1
115,1.3771687135131036e-06,1.0232470704199929e-06,7.331712864868966e-07,1
116,1.7901958669722594e-06,1.0232470704199929e-06,1.4848413302774062e-07,0
117,3.0593340719551445e-06,1.0232470704199929e-06,-6.151240719551444e-07,0
118,4.9695791790529715e-06,1.0232470704199929e-06,-1.6585291790529713e-06,1
119,7.0526035667237994e-06,1.0232470704199929e-06,-2.4262935667237995e-06,1
120,1.0583697041955014e-05,1.0232470704199929e-06,-2.381667041955015e-06,1
121,1.9880949548547395e-05,1.0232470704199929e-06,-1.8296495485473942e-06,0
122,3.864473653464689e-05,1.0232470704199929e-06,-8.048365346468927e-07,0
123,6.226164558031015e-05,1.0232470704199929e-06,1.8288544196898494e-06,0
124,7.63561392663498e-05,1.0232470704199929e-06,5.794360733650205e-06,0
125,6.986695080894167e-05,1.0232470704199929e-06,7.5374491910583244e-06,1
126,4.7354472925848935e-05,1.0232470704199929e-06,5.144527074151058e-06,1
127,2.299007950096739e-05,1.0232470704199929e-06,1.6272204990326101e-06,0
128,2.274424945283643e-06,1.0232470704199929e-06,1.0546950547163568e-06,1
129,2.339323858119759e-06,1.0232470704199929e-06,1.1550261418802407e-06,1
130,1.8062740972852783e-06,1.0232470704199929e-06,4.024659027147221e-07,0
131,1.5585988442819813e-06,1.0232470704199929e-06,-4.898688442819815e-07,1
132,1.5337979922617183e-06,1.0232470704199929e-06,-9.471339922617183e-07,1
133,1.292035579236757e-06,1.0232470704199929e-06,-8.86863579236757e-07,1
134,8.438190398241512e-07,1.0232470704199929e-06,-5.541320398241512e-07,1
135,5.716439563407278e-07,1.0232470704199929e-06,-3.4252995634072783e-07,1
136,7.997205176286884e-07,1.0232470704199929e-06,-5.094755176286884e-07,1
137,1.6790842751176588e-06,1.0232470704199929e-06,-1.0963312751176588e-06,1
138,3.3415334652252907e-06,1.0232470704199929e-06,-2.029293465225291e-06,1
139,5.6469601498268325e-06,1.0232470704199929e-06,-2.9413401498268324e-06,1
140,7.840755923336502e-06,1.0232470704199929e-06,-3.0003859233365024e-06,1
141,9.166368727772577e-06,1.0232470704199929e-06,-1.5511887277725762e-06,0
142,9.256254909365269e-06,1.0232470704199929e-06,1.1776450906347312e-06,0
143,7.99374434336891e-06,1.0232470704199929e-06,3.806955656631089e-06,1
144,5.9150400285574324e-06,1.0232470704199929e-06,4.630859971442566e-06,1
145,4.05123216126854e-06,1.0232470704199929e-06,3.4209978387314603e-06,1
146,2.9925305510476093e-06,1.0232470704199929e-06,1.5532794489523903e-06,1
147,2.5259189255139387e-06,1.0232470704199929e-06,4.0888107448606157e-07,0
148,2.7413676813627047e-06,1.0232470704199929e-06,2.9322318637295458e-08,0
149,4.3274599253484175e-06,1.0232470704199929e-06,-5.465599253484179e-07,0
150,6.991940515442316e-06,1.0232470704199929e-06,-1.6774305154423156e-06,1
151,9.705995410313334e-06,1.0232470704199929e-06,-2.209105410313334e-06,1
152,1.4232030623822104e-05,1.0232470704199929e-06,-1.1676306238221042e-06,0
153,2.566835305503951e-05,1.0232470704199929e-06,1.0710469449604892e-06,0
154,4.6044856420355296e-05,1.0232470704199929e-06,4.3188435796447046e-06,0
155,6.721844164046483e-05,1.0232470704199929e-06,8.511558359535162e-06,1
156,7.467055059552004e-05,1.0232470704199929e-06,1.168274940447996e-05,1
157,6.244526131528971e-05,1.0232470704199929e-06,1.099643868471029e-05,1
158,3.915968324136532e-05,1.0232470704199929e-06,6.735416758634678e-06,1
159,1.784501210273017e-05,1.0232470704199929e-06,2.3571878972698305e-06,1
160,1.8256965923855618e-06,1.0232470704199929e-06,6.325434076144384e-07,1
161,2.2788532699966707e-06,1.0232470704199929e-06,3.8362673000332905e-07,0
162,2.1771489040726774e-06,1.0232470704199929e-06,-3.462089040726772e-07,0
163,1.864654975250623e-06,1.0232470704199929e-06,-8.03204975250623e-07,1
164,1.4351606748517824e-06,1.0232470704199929e-06,-7.345576748517824e-07,1
165,9.3573334225077e-07,1.0232470704199929e-06,-4.2736234225076994e-07,0
166,5.567668263750437e-07,1.0232470704199929e-06,-2.132358263750437e-07,0
167,4.402924600434469e-07,1.0232470704199929e-06,-2.056304600434469e-07,1
168,7.08976456598408e-07,1.0232470704199929e-06,-4.3965245659840793e-07,1
169,1.6713888251148683e-06,1.0232470704199929e-06,-1.0300698251148683e-06,1
170,3.852019781165651e-06,1.0232470704199929e-06,-2.107759781165651e-06,1
171,7.330955064545805e-06,1.0232470704199929e-06,-3.276085064545806e-06,1
172,1.1184378581191596e-05,1.0232470704199929e-06,-3.3842685811915957e-06,1
173,1.4036959568110406e-05,1.0232470704199929e-06,-1.4538595681104061e-06,0
174,1.4715766485779254e-05,1.0232470704199929e-06,2.090333514220744e-06,0
175,1.2895628225514764e-05,1.0232470704199929e-06,4.946071774485238e-06,1
176,9.650855044049465e-06,1.0232470704199929e-06,4.980044955950534e-06,1
177,6.849256555026848e-06,1.0232470704199929e-06,2.584723444973152e-06,1
178,5.147998647269232e-06,1.0232470704199929e-06,1.0019135273076696e-07,0
179,3.968010537118453e-06,1.0232470704199929e-06,-8.18290537118453e-07,0
180,3.7973759211738616e-06,1.0232470704199929e-06,-8.487759211738616e-07,0
181,5.605764255017151e-06,1.0232470704199929e-06,-1.490964255017151e-06,0
182,8.51737388345015e-06,1.0232470704199929e-06,-2.517833883450149e-06,1
183,1.1586964101100558e-05,1.0232470704199929e-06,-2.4060441011005573e-06,1
184,1.7484901398727006e-05,1.0232470704199929e-06,-8.696013987270061e-07,0
185,3.067592636244381e-05,1.0232470704199929e-06,1.4243736375561892e-06,0
186,5.0624067452385435e-05,1.0232470704199929e-06,4.431832547614567e-06,0
187,6.766107767999434e-05,1.0232470704199929e-06,7.502222320005664e-06,1
188,6.951614567021435e-05,1.0232470704199929e-06,8.78805432978565e-06,1
189,5.438495947598437e-05,1.0232470704199929e-06,7.345940524015635e-06,1
190,3.237371278519798e-05,1.0232470704199929e-06,4.172887214802019e-06,1
191,1.4262571371805765e-05,1.0232470704199929e-06,1.3700286281942353e-06,0
192,2.327678794026574e-06,1.0232470704199929e-06,-3.720879402657414e-08,0
193,3.38888769470414e-06,1.0232470704199929e-06,-6.1152769470414e-07,0
194,3.50258930049439e-06,1.0232470704199929e-06,-1.2886893004943905e-06,1
195,2.8803382577723187e-06,1.0232470704199929e-06,-1.4061882577723188e-06,1
196,1.9639830954626498e-06,1.0232470704199929e-06,-9.529630954626497e-07,1
197,1.1432073182565612e-06,1.0232470704199929e-06,-4.4510031825656117e-07,0
198,6.462063069602786e-07,1.0232470704199929e-06,-2.0166230696027857e-07,0
199,5.033980833224367e-07,1.0232470704199929e-06,-2.0628708332243673e-07,0
200,8.585827282628395e-07,1.0232470704199929e-06,-4.779097282628394e-07,1
201,2.2634777004337203e-06,1.0232470704199929e-06,-1.2311877004337203e-06,1
202,5.646096025580228e-06,1.0232470704199929e-06,-2.6810060255802277e-06,1
203,1.1349700092593665e-05,1.0232470704199929e-06,-4.319460092593666e-06,1
204,1.7883454517735543e-05,1.0232470704199929e-06,-4.466854517735542e-06,1
205,2.259087741586048e-05,1.0232470704199929e-06,-1.777977415860481e-06,0
206,2.350113499921792e-05,1.0232470704199929e-06,2.536465000782082e-06,0
207,2.0318483570316877e-05,1.0232470704199929e-06,5.157716429683121e-06,1
208,1.5170467213016934e-05,1.0232470704199929e-06,4.010832786983068e-06,1
209,1.0813606108091816e-05,1.0232470704199929e-06,6.589938919081827e-07,0
210,7.698231346250513e-06,1.0232470704199929e-06,-1.6787213462505124e-06,1
211,5.487004793206418e-06,1.0232470704199929e-06,-2.1158847932064183e-06,1
212,4.9144150838928325e-06,1.0232470704199929e-06,-2.1697950838928325e-06,1
213,6.236309529412796e-06,1.0232470704199929e-06,-2.7646495294127957e-06,1
214,8.489629154582888e-06,1.0232470704199929e-06,-3.1517191545828887e-06,1
215,1.1858095426724921e-05,1.0232470704199929e-06,-2.5726154267249217e-06,1
216,1.9229320455816127e-05,1.0232470704199929e-06,-1.5357204558161278e-06,0
217,3.376510992363126e-05,1.0232470704199929e-06,-7.525099236312561e-07,0
218,5.3701808793760324e-05,1.0232470704199929e-06,7.299120623967438e-08,0
219,6.910450668458583e-05,1.0232470704199929e-06,9.702933154141655e-07,0
220,6.852159494830742e-05,1.0232470704199929e-06,1.3946050516925798e-06,0
221,5.187910169380484e-05,1.0232470704199929e-06,1.407398306195157e-06,0
222,3.0124177493106494e-05,1.0232470704199929e-06,1.1821225068935081e-06,0
223,1.3182151830224671e-05,1.0232470704199929e-06,6.213481697753282e-07,0
224,3.875693870883801e-06,1.0232470704199929e-06,-7.303638708838008e-07,1
225,5.59225679907592e-06,1.0232470704199929e-06,-1.5080867990759205e-06,1
226,5.3871447398854106e-06,1.0232470704199929e-06,-1.9995547398854104e-06,1
227,3.899589020252079e-06,1.0232470704199929e-06,-1.6656590202520791e-06,1
228,2.3473981976286987e-06,1.0232470704199929e-06,-9.245881976286986e-07,0
229,1.2978727971979963e-06,1.0232470704199929e-06,-4.1032879719799625e-07,0
230,8.166169346975571e-07,1.0232470704199929e-06,-2.864329346975571e-07,0
231,9.55836723202005e-07,1.0232470704199929e-06,-5.65945723202005e-07,1
232,1.9746914986184507e-06,1.0232470704199929e-06,-1.3306654986184507e-06,1
233,4.4521418856112235e-06,1.0232470704199929e-06,-2.5844318856112238e-06,1
234,9.56704806681939e-06,1.0232470704199929e-06,-4.25167806681939e-06,1
235,1.8072440437909735e-05,1.0232470704199929e-06,-5.659540437909735e-06,1
236,2.8008686597463905e-05,1.0232470704199929e-06,-5.0083865974639044e-06,1
237,3.5306863001665387e-05,1.0232470704199929e-06,-1.359463001665387e-06,0
238,3.6548755376614005e-05,1.0232470704199929e-06,3.294544623385994e-06,0
239,3.1212907202444344e-05,1.0232470704199929e-06,5.3738927975556565e-06,1
240,2.295723683947748e-05,1.0232470704199929e-06,3.1902631605225193e-06,1
241,1.5967521567756383e-05,1.0232470704199929e-06,-8.489215677563831e-07,0
242,1.1373758124669895e-05,1.0232470704199929e-06,-3.4147181246698944e-06,1
243,8.68254608095699e-06,1.0232470704199929e-06,-4.01483608095699e-06,1
244,7.454443602120964e-06,1.0232470704199929e-06,-3.751173602120964e-06,1
245,7.369952490294624e-06,1.0232470704199929e-06,-3.3233324902946242e-06,1
246,8.22831980325084e-06,1.0232470704199929e-06,-2.7217498032508404e-06,1
247,1.0992516851006405e-05,1.0232470704199929e-06,-1.8194868510064044e-06,1
248,1.8481319360213033e-05,1.0232470704199929e-06,-1.0768193602130342e-06,0
249,3.365783406833814e-05,1.0232470704199929e-06,-9.702340683381364e-07,0
250,5.469501910283774e-05,1.0232470704199929e-06,-1.0558191028377378e-06,0
251,7.113521798047064e-05,1.0232470704199929e-06,-9.12317980470643e-07,0
252,7.135237453382937e-05,1.0232470704199929e-06,-4.6587453382937645e-07,0
253,5.549774001486062e-05,1.0232470704199929e-06,7.336599851393829e-07,0
254,3.4099728558734216e-05,1.0232470704199929e-06,1.655271441265783e-06,0
255,1.6383525731201393e-05,1.0232470704199929e-06,1.0456742687986058e-06,0
256,5.537933510617724e-06,1.0232470704199929e-06,-9.17943510617724e-07,0
257,7.171764839840425e-06,1.0232470704199929e-06,-1.4958348398404244e-06,0
258,5.923295848657172e-06,1.0232470704199929e-06,-1.566305848657172e-06,0
259,3.5797768256628585e-06,1.0232470704199929e-06,-9.628568256628584e-07,0
260,1.8859160719786582e-06,1.0232470704199929e-06,-3.947260719786583e-07,0
261,1.0624911214264113e-06,1.0232470704199929e-06,-2.2756512142641137e-07,0
262,1.0113223397398934e-06,1.0232470704199929e-06,-5.212053397398934e-07,1
263,1.9062579715660568e-06,1.0232470704199929e-06,-1.459911971566057e-06,1
264,3.850408048157177e-06,1.0232470704199929e-06,-2.8709570481571773e-06,1
265,7.137712278483737e-06,1.0232470704199929e-06,-3.991272278483737e-06,1
266,1.3719788082425727e-05,1.0232470704199929e-06,-4.381998082425727e-06,1
267,2.598116605817273e-05,1.0232470704199929e-06,-3.84656605817273e-06,1
268,4.220193146531e-05,1.0232470704199929e-06,-1.9385314653100008e-06,0
269,5.567799576157505e-05,1.0232470704199929e-06,8.672042384249499e-07,0
270,5.865893437501477e-05,1.0232470704199929e-06,3.4004656249852252e-06,0
271,4.8951372635126944e-05,1.0232470704199929e-06,4.095927364873052e-06,1
272,3.361219547082402e-05,1.0232470704199929e-06,1.7377045291759797e-06,0
273,2.1677621028184423e-05,1.0232470704199929e-06,-2.2188210281844222e-06,0
274,1.569960129089437e-05,1.0232470704199929e-06,-5.1930012908943705e-06,1
275,1.3022041795235672e-05,1.0232470704199929e-06,-6.065761795235672e-06,1
276,1.117228215583667e-05,1.0232470704199929e-06,-5.26578215583667e-06,1
277,9.690476789536282e-06,1.0232470704199929e-06,-3.913766789536283e-06,1
278,9.116204053272999e-06,1.0232470704199929e-06,-2.6220440532729996e-06,1
279,1.0867742637156647e-05,1.0232470704199929e-06,-1.259802637156648e-06,0
280,1.822757321537516e-05,1.0232470704199929e-06,1.4222678462484165e-07,0
281,3.505966813140398e-05,1.0232470704199929e-06,1.4588318685960193e-06,0
282,5.937903496414593e-05,1.0232470704199929e-06,3.1180650358540686e-06,0
283,7.950482594363646e-05,1.0232470704199929e-06,4.728174056363533e-06,0
284,8.341394574140951e-05,1.0232470704199929e-06,5.526154258590494e-06,0
285,7.054262609623364e-05,1.0232470704199929e-06,5.449173903766355e-06,0
286,4.859866185323873e-05,1.0232470704199929e-06,3.6927381467612754e-06,1
287,2.5765268522551364e-05,1.0232470704199929e-06,8.773314774486376e-07,0
288,5.4041545477010776e-06,1.0232470704199929e-06,-6.420845477010774e-07,0
289,5.998403317204063e-06,1.0232470704199929e-06,-8.042833172040642e-07,0
290,4.118170104402526e-06,1.0232470704199929e-06,-5.983501044025261e-07,0
291,2.0691410337051e-06,1.0232470704199929e-06,-2.2346103370510035e-07,0
292,9.814414912008085e-07,1.0232470704199929e-06,-8.172949120080857e-08,0
293,6.615345026304185e-07,1.0232470704199929e-06,-2.1410150263041855e-07,0
294,1.0029616332021057e-06,1.0232470704199929e-06,-7.183616332021057e-07,1
295,2.116651237039066e-06,1.0232470704199929e-06,-1.721891237039066e-06,1
296,4.01776649461027e-06,1.0232470704199929e-06,-2.73727649461027e-06,1
297,7.78885780396285e-06,1.0232470704199929e-06,-2.8713878039628504e-06,1
298,1.7530060874372142e-05,1.0232470704199929e-06,-1.7105608743721426e-06,0
299,3.7402464771598105e-05,1.0232470704199929e-06,5.659352284018954e-07,0
300,6.414573842465296e-05,1.0232470704199929e-06,2.1632615753470346e-06,0
301,8.462487668691269e-05,1.0232470704199929e-06,1.4443233130873165e-06,0
302,8.40851273769009e-05,1.0232470704199929e-06,8.286726230990907e-07,0
303,6.23492814937894e-05,1.0232470704199929e-06,1.4337185062105948e-06,0
304,3.652805730506434e-05,1.0232470704199929e-06,4.3134269493565766e-07,0
305,2.090346247610949e-05,1.0232470704199929e-06,-2.707762476109492e-06,1
306,1.4975223895820867e-05,1.0232470704199929e-06,-5.342663895820867e-06,1
307,1.2479361979031515e-05,1.0232470704199929e-06,-5.782021979031516e-06,1
308,1.0348890217784688e-05,1.0232470704199929e-06,-4.664300217784687e-06,1
309,8.651771558178149e-06,1.0232470704199929e-06,-3.344021558178149e-06,1
310,8.167824252275593e-06,1.0232470704199929e-06,-2.2008942522755926e-06,1
311,1.0771475693990492e-05,1.0232470704199929e-06,-1.0332156939904921e-06,0
312,2.119408519943249e-05,1.0232470704199929e-06,-2.9851994324899445e-09,0
313,4.401130184361391e-05,1.0232470704199929e-06,1.5586981563860908e-06,0
314,7.433414817254456e-05,1.0232470704199929e-06,5.546751827455439e-06,0
315,9.72217753891435e-05,1.0232470704199929e-06,1.0815224610856509e-05,1
316,0.00010232470704199928,1.0232470704199929e-06,1.2892292958000725e-05,1
317,8.970401878328532e-05,1.0232470704199929e-06,9.851681216714681e-06,1
318,6.31005192549674e-05,1.0232470704199929e-06,4.035480745032607e-06,0
319,3.220265887529324e-05,1.0232470704199929e-06,-2.992588752932367e-07,0
320,3.1224078999878203e-06,1.0232470704199929e-06,-3.7060789998782026e-07,0
321,2.8494049514145282e-06,1.0232470704199929e-06,-1.751749514145281e-07,0
322,1.5808546866816675e-06,1.0232470704199929e-06,4.3845313318332614e-08,0
323,6.588244650197808e-07,1.0232470704199929e-06,8.842853498021917e-08,0
324,3.0314752513210075e-07,1.0232470704199929e-06,1.301474867899278e-09,0
325,2.788977265755302e-07,1.0232470704199929e-06,-1.452797265755302e-07,1
326,5.501676469744611e-07,1.0232470704199929e-06,-4.400726469744611e-07,1
327,1.2074208871972316e-06,1.0232470704199929e-06,-9.028678871972316e-07,1
328,2.7592420650718947e-06,1.0232470704199929e-06,-1.2493020650718947e-06,1
329,7.805226394481027e-06,1.0232470704199929e-06,-1.0166163944810255e-06,0
330,2.1805983334083067e-05,1.0232470704199929e-06,5.553166659169354e-07,0
331,4.788916881938798e-05,1.0232470704199929e-06,3.028931180612021e-06,0
332,7.777772363553597e-05,1.0232470704199929e-06,2.9770763644640234e-06,0
333,9.160571383979984e-05,1.0232470704199929e-06,5.497861602001556e-07,0
334,7.68953251481489e-05,1.0232470704199929e-06,2.825748518511063e-07,0
335,4.629010855353107e-05,1.0232470704199929e-06,1.3468914464689262e-06,0
336,2.2004921951207667e-05,1.0232470704199929e-06,4.239780487923312e-07,0
337,1.1029399881502654e-05,1.0232470704199929e-06,-1.7313698815026535e-06,0
338,7.417531032498589e-06,1.0232470704199929e-06,-2.8876710324985884e-06,1
339,5.6975035629537626e-06,1.0232470704199929e-06,-2.644153562953763e-06,1
340,4.4729677589281375e-06,1.0232470704199929e-06,-1.9411777589281373e-06,1
341,3.88644699643853e-06,1.0232470704199929e-06,-1.3878069964385298e-06,1
342,4.5144661931871174e-06,1.0232470704199929e-06,-9.782961931871177e-07,0
343,8.902520508380047e-06,1.0232470704199929e-06,-1.0112205083800468e-06,0
344,2.253687659899969e-05,1.0232470704199929e-06,-1.8389765989996892e-06,0
345,4.827518615017378e-05,1.0232470704199929e-06,-1.3598861501737869e-06,0
346,7.724883473474074e-05,1.0232470704199929e-06,3.804865265259256e-06,0
347,9.505754160392169e-05,1.0232470704199929e-06,1.0870458396078307e-05,1
348,9.597406600949019e-05,1.0232470704199929e-06,1.2772933990509816e-05,1
349,8.034600259597283e-05,1.0232470704199929e-06,8.158897404027173e-06,1
350,5.190906618652988e-05,1.0232470704199929e-06,1.945933813470115e-06,0
351,2.3379746611331337e-05,1.0232470704199929e-06,-1.105546611331336e-06,0
352,8.995910873925642e-07,1.0232470704199929e-06,-8.784087392564307e-09,0
353,6.544953690864997e-07,1.0232470704199929e-06,1.4300863091350027e-07,0
