,T125R,max,diff,True
180,2.402576475887687e-06,1.0984206599276616e-06,5.460235241123129e-07,0
181,2.869525605945671e-06,1.0984206599276616e-06,1.245274394054329e-06,0
182,4.750485215689401e-06,1.0984206599276616e-06,1.2490547843106001e-06,0
183,8.994648337076082e-06,1.0984206599276616e-06,1.8627166292391827e-07,0
184,1.6991749328922927e-05,1.0984206599276616e-06,-3.764493289229268e-07,0
185,3.129741441647052e-05,1.0984206599276616e-06,8.028855835294789e-07,0
186,5.23172529206331e-05,1.0984206599276616e-06,2.738647079366902e-06,0
187,7.189520892479291e-05,1.0984206599276616e-06,3.268091075207092e-06,0
188,7.740116200828286e-05,1.0984206599276616e-06,9.030379917171412e-07,0
189,6.443042517377571e-05,1.0984206599276616e-06,-2.699525173775706e-06,0
190,4.081926514873026e-05,1.0984206599276616e-06,-4.272665148730259e-06,1
191,1.8943320321391338e-05,1.0984206599276616e-06,-3.3107203213913375e-06,1
192,3.3135672593274585e-06,1.0984206599276616e-06,-1.0230972593274586e-06,1
193,4.2876330827298965e-06,1.0984206599276616e-06,-1.5102730827298965e-06,1
194,3.7155552640365753e-06,1.0984206599276616e-06,-1.5016552640365756e-06,1
195,2.4648469732565075e-06,1.0984206599276616e-06,-9.906969732565077e-07,1
196,1.3804136792254369e-06,1.0984206599276616e-06,-3.693936792254368e-07,0
197,6.723987961206625e-07,1.0984206599276616e-06,2.5708203879337543e-08,0
198,3.067287141005527e-07,1.0984206599276616e-06,1.378152858994473e-07,0
199,1.8061628693074925e-07,1.0984206599276616e-06,1.1649471306925072e-07,0
200,3.0196049898412305e-07,1.0984206599276616e-06,7.871250101587696e-08,0
201,1.0725496025773212e-06,1.0984206599276616e-06,-4.0259602577321196e-08,0
202,3.5586448425079863e-06,1.0984206599276616e-06,-5.93554842507986e-07,0
203,8.928236559632861e-06,1.0984206599276616e-06,-1.8979965596328626e-06,1
204,1.671345614704448e-05,1.0984206599276616e-06,-3.2968561470444794e-06,1
205,2.400374396098881e-05,1.0984206599276616e-06,-3.1908439609888104e-06,1
206,2.7274569609554714e-05,1.0984206599276616e-06,-1.2369696095547112e-06,0
207,2.4669287371966664e-05,1.0984206599276616e-06,8.069126280333345e-07,0
208,1.751279944657811e-05,1.0984206599276616e-06,1.668500553421891e-06,0
209,9.96686892884589e-06,1.0984206599276616e-06,1.5057310711541096e-06,0
210,5.246707223549003e-06,1.0984206599276616e-06,7.728027764509971e-07,0
211,3.2151679975666773e-06,1.0984206599276616e-06,1.5595200243332218e-07,0
212,2.434945258609769e-06,1.0984206599276616e-06,3.09674741390231e-07,0
