,K292I,max,diff,True
131,1.3688709356198285e-06,1.056035626733772e-06,-3.001409356198287e-07,0
132,5.062454207262392e-07,1.056035626733772e-06,8.041857927376079e-08,0
133,2.0203152676216649e-07,1.056035626733772e-06,2.0314047323783354e-07,0
134,1.142344845421437e-07,1.056035626733772e-06,1.7545251545785627e-07,0
135,8.824282323186754e-08,1.056035626733772e-06,1.4087117676813246e-07,0
136,9.728104424599793e-08,1.056035626733772e-06,1.929639557540021e-07,0
137,2.075396392079952e-07,1.056035626733772e-06,3.752133607920048e-07,1
138,5.791348671088887e-07,1.056035626733772e-06,7.331051328911113e-07,1
139,1.4154713107810378e-06,1.056035626733772e-06,1.2901486892189623e-06,1
140,2.846645800742245e-06,1.056035626733772e-06,1.993724199257755e-06,1
141,4.837322246939581e-06,1.056035626733772e-06,2.7778577530604194e-06,1
142,6.703047726571588e-06,1.056035626733772e-06,3.7308522734284124e-06,1
143,7.231710016054499e-06,1.056035626733772e-06,4.5689899839455e-06,1
144,6.070679320370242e-06,1.056035626733772e-06,4.475220679629756e-06,1
145,4.029083164782419e-06,1.056035626733772e-06,3.4431468352175815e-06,1
146,2.1565435247799297e-06,1.056035626733772e-06,2.38926647522007e-06,1
147,1.1495220480764385e-06,1.056035626733772e-06,1.7852779519235618e-06,1
148,1.3010020968909405e-06,1.056035626733772e-06,1.4696879031090597e-06,1
149,2.749635782389504e-06,1.056035626733772e-06,1.0312642176104955e-06,0
150,5.175189598155785e-06,1.056035626733772e-06,1.3932040184421516e-07,0
151,8.275830822467947e-06,1.056035626733772e-06,-7.789408224679471e-07,0
152,1.4222565010353796e-05,1.056035626733772e-06,-1.1581650103537965e-06,0
153,2.7790027451774452e-05,1.056035626733772e-06,-1.0506274517744519e-06,0
154,5.01276345057717e-05,1.056035626733772e-06,2.360654942283022e-07,0
155,7.172656446208544e-05,1.056035626733772e-06,4.0034355379145535e-06,0
156,7.851959333105666e-05,1.056035626733772e-06,7.833706668943337e-06,0
157,6.679271878007004e-05,1.056035626733772e-06,6.648981219929955e-06,1
158,4.447836128051423e-05,1.056035626733772e-06,1.4167387194857707e-06,0
159,2.2124263491145193e-05,1.056035626733772e-06,-1.922063491145192e-06,1
160,3.3810815135962374e-06,1.056035626733772e-06,-9.228415135962371e-07,1
161,3.4111514669434414e-06,1.056035626733772e-06,-7.486714669434416e-07,1
162,2.1565114216060875e-06,1.056035626733772e-06,-3.255714216060873e-07,0
163,9.732754151321777e-07,1.056035626733772e-06,8.817458486782229e-08,0
164,4.03240632608886e-07,1.056035626733772e-06,2.97362367391114e-07,0
165,2.299537486347141e-07,1.056035626733772e-06,2.7841725136528593e-07,0
166,1.8934157979516132e-07,1.056035626733772e-06,1.5418942020483866e-07,0
167,1.5888864279511008e-07,1.056035626733772e-06,7.577335720488994e-08,0
168,1.586583084970042e-07,1.056035626733772e-06,1.1066569150299584e-07,0
169,3.307814634281917e-07,1.056035626733772e-06,3.105375365718083e-07,1
170,1.0132734460775094e-06,1.056035626733772e-06,7.309865539224906e-07,1
171,2.73085768931609e-06,1.056035626733772e-06,1.3240123106839096e-06,1
172,5.920121457726376e-06,1.056035626733772e-06,1.8799885422736246e-06,1
173,1.0139944425320276e-05,1.056035626733772e-06,2.443155574679724e-06,0
174,1.3321428257686536e-05,1.056035626733772e-06,3.4846717423134624e-06,1
175,1.3440766528971773e-05,1.056035626733772e-06,4.4009334710282295e-06,1
176,1.068534837122056e-05,1.056035626733772e-06,3.945551628779439e-06,1
177,6.736813300232904e-06,1.056035626733772e-06,2.6971666997670957e-06,1
178,3.4233625252011606e-06,1.056035626733772e-06,1.8248274747988387e-06,1
179,1.7882873896466146e-06,1.056035626733772e-06,1.3614326103533852e-06,1
180,1.997815001447066e-06,1.056035626733772e-06,9.507849985529341e-07,0
181,3.933838041378388e-06,1.056035626733772e-06,1.8096195862161197e-07,0
182,7.0118963003176775e-06,1.056035626733772e-06,-1.0123563003176764e-06,0
183,1.1138293161371373e-05,1.056035626733772e-06,-1.9573731613713727e-06,1
184,1.876660411151093e-05,1.056035626733772e-06,-2.1513041115109305e-06,0
185,3.3712614033917684e-05,1.056035626733772e-06,-1.6123140339176825e-06,0
186,5.530421378478853e-05,1.056035626733772e-06,-2.483137847885257e-07,0
187,7.321303188323008e-05,1.056035626733772e-06,1.950268116769922e-06,0
188,7.510615409096176e-05,1.056035626733772e-06,3.198045909038241e-06,0
189,6.0334696293619424e-05,1.056035626733772e-06,1.3962037063805786e-06,0
190,3.8064661155854965e-05,1.056035626733772e-06,-1.5180611558549651e-06,0
191,1.7982963702043224e-05,1.056035626733772e-06,-2.3503637020432235e-06,1
192,2.14322394046518e-06,1.056035626733772e-06,1.4724605953481993e-07,0
193,2.3158591051358572e-06,1.056035626733772e-06,4.615008948641428e-07,0
194,1.6029093972794652e-06,1.056035626733772e-06,6.109906027205345e-07,0
195,8.06654203579377e-07,1.056035626733772e-06,6.674957964206229e-07,0
196,4.0546007446833673e-07,1.056035626733772e-06,6.055599255316633e-07,0
197,2.8692533384537483e-07,1.056035626733772e-06,4.111816661546252e-07,0
198,2.2074270691657252e-07,1.056035626733772e-06,2.2380129308342746e-07,0
199,1.5323760603123475e-07,1.056035626733772e-06,1.4387339396876522e-07,0
200,1.8258183709631665e-07,1.056035626733772e-06,1.9809116290368336e-07,0
201,5.864673963749224e-07,1.056035626733772e-06,4.4582260362507757e-07,1
202,2.099243179974858e-06,1.056035626733772e-06,8.658468200251423e-07,1
203,5.8127281612911754e-06,1.056035626733772e-06,1.2175118387088232e-06,0
204,1.2095430435277299e-05,1.056035626733772e-06,1.3211695647227024e-06,0
205,1.902499916094084e-05,1.056035626733772e-06,1.787900839059159e-06,0
206,2.2912705858129904e-05,1.056035626733772e-06,3.1248941418700987e-06,1
207,2.1793054743113362e-05,1.056035626733772e-06,3.683145256886636e-06,1
208,1.6694197555255435e-05,1.056035626733772e-06,2.487102444744567e-06,1
209,1.023361640512121e-05,1.056035626733772e-06,1.238983594878789e-06,0
210,5.243015157913125e-06,1.056035626733772e-06,7.764948420868758e-07,0
211,2.805816000315271e-06,1.056035626733772e-06,5.653039996847284e-07,0
212,2.4162149678195273e-06,1.056035626733772e-06,3.284050321804728e-07,0
213,3.7019107355825005e-06,1.056035626733772e-06,-2.302507355825006e-07,0
214,6.600927133994078e-06,1.056035626733772e-06,-1.2630171339940785e-06,0
215,1.1667715340267168e-05,1.056035626733772e-06,-2.3822353402671683e-06,1
216,2.084356371476631e-05,1.056035626733772e-06,-3.1499637147663105e-06,1
217,3.627457515514468e-05,1.056035626733772e-06,-3.2619751551446775e-06,0
218,5.635468548204186e-05,1.056035626733772e-06,-2.5798854820418605e-06,0
219,7.180001959475385e-05,1.056035626733772e-06,-1.725219594753854e-06,0
220,7.177120420427732e-05,1.056035626733772e-06,-1.8550042042773224e-06,0
221,5.6171028716110586e-05,1.056035626733772e-06,-2.8845287161105874e-06,0
222,3.4554380728877585e-05,1.056035626733772e-06,-3.2480807288775827e-06,0
223,1.617462880799043e-05,1.056035626733772e-06,-2.3711288079904306e-06,1
224,2.22281791715918e-06,1.056035626733772e-06,9.2251208284082e-07,1
225,2.7315852351732946e-06,1.056035626733772e-06,1.3525847648267048e-06,1
226,2.1043747942620813e-06,1.056035626733772e-06,1.2832152057379188e-06,0
227,1.151651969632997e-06,1.056035626733772e-06,1.082278030367003e-06,0
228,5.820198734188094e-07,1.056035626733772e-06,8.407901265811906e-07,0
229,3.343136583435883e-07,1.056035626733772e-06,5.532303416564117e-07,0
230,1.917091231293602e-07,1.056035626733772e-06,3.384748768706398e-07,0
231,1.3872592179607349e-07,1.056035626733772e-06,2.511650782039265e-07,0
232,2.989045876903047e-07,1.056035626733772e-06,3.4512141230969536e-07,0
233,1.1960003106073058e-06,1.056035626733772e-06,6.71709689392694e-07,0
234,4.2460384533561495e-06,1.056035626733772e-06,1.06933154664385e-06,0
235,1.1145237878623379e-05,1.056035626733772e-06,1.2676621213766204e-06,0
236,2.141306851544193e-05,1.056035626733772e-06,1.5872314845580711e-06,0
237,3.1121600018501704e-05,1.056035626733772e-06,2.825799981498296e-06,0
238,3.579514706314007e-05,1.056035626733772e-06,4.048152936859926e-06,1
239,3.359465734820014e-05,1.056035626733772e-06,2.9921426517998587e-06,0
240,2.5533173224700285e-05,1.056035626733772e-06,6.143267752997154e-07,0
241,1.5596535161940327e-05,1.056035626733772e-06,-4.779351619403278e-07,0
242,8.270808048569392e-06,1.056035626733772e-06,-3.1176804856939106e-07,0
243,4.471621089219609e-06,1.056035626733772e-06,1.9608891078039043e-07,0
244,2.9700564504561738e-06,1.056035626733772e-06,7.33213549543826e-07,0
245,3.2307804758914866e-06,1.056035626733772e-06,8.158395241085135e-07,0
246,5.314546249970353e-06,1.056035626733772e-06,1.9202375002964615e-07,0
247,9.983528161016749e-06,1.056035626733772e-06,-8.104981610167481e-07,0
